name,price,brand,series,model,rating,os,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen
"DELL Laptop Vostro 3WX7T Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6"" Windows 10 Pro 64-bit",630.12,DELL,Vostro,3WX7T,,Windows 10 Pro 64-bit,Intel Core i5 8th Gen,8265U (1.60 GHz),Quad-core Processor,256 GB M.2 PCIe NVMe SSD,8 GB,Intel UHD Graphics 620,Shared system memory,"15.6"""
"Lenovo Laptop IdeaPad S940 81R00004US Intel Core i7 8th Gen 8565U (1.80 GHz) 8 GB LPDDR3 Memory 256 GB PCIe SSD Intel UHD Graphics 620 14.0"" Windows 10 Home 64-bit","1,299.99",Lenovo,IdeaPad S940,81R00004US,,Windows 10 Home 64-bit,Intel Core i7 8th Gen,8565U (1.80 GHz),Quad-core Processor,256 GB PCIe SSD,8 GB LPDDR3,Intel UHD Graphics 620,Shared system memory,"14.0"""
"2020 HP 15.6"" HD Touchscreen Premium Home & Business Laptop, 10th Gen Intel Quad-Core i5-1035G1 upto 3.6GHz, 8GB RAM, 128GB SSD, WIFI, HDMI, Bluetooth, Card Reader, Windows 10",524.48,HP,,HP,,Windows 10 Home,Intel Core i5,1.00 GHz,Quad-core Processor,128GB SSD,8 GB,,,"15.6"""
"DELL Laptop Latitude 3400 PT7PN Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 14.0"" Windows 10 Pro 64-bit",689.97,DELL,Latitude 3400,PT7PN,,Windows 10 Pro 64-bit,Intel Core i5 8th Gen,8265U (1.60 GHz),Quad-core Processor,256 GB M.2 PCIe NVMe SSD,8 GB,Intel UHD Graphics 620,Shared system memory,"14.0"""
"SAMSUNG Laptop Notebook 9 NP900X3T-K03US Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 13.3"" Windows 10 Pro 64-bit",799.99,SAMSUNG,Notebook 9,NP900X3T-K03US,,Windows 10 Pro 64-bit,Intel Core i7 8th Gen,8550U (1.80 GHz),Quad-core Processor,256GB,8 GB,Intel UHD Graphics 620,Shared system memory,"13.3"""
"HP Laptop EliteBook 745 G5 (4JB92UT#ABA) AMD Ryzen 5 1st Gen 2500U (2.00 GHz) 8 GB Memory 256 GB PCIe NVMe SSD AMD Radeon Vega 8 14.0"" Windows 10 Pro 64-Bit",578.91,HP,EliteBook,745 G5 (4JB92UT#ABA),2,Windows 10 Pro 64-Bit,AMD Ryzen 5 1st Gen,2500U (2.00 GHz),Quad-core Processor,256 GB PCIe NVMe SSD,8 GB,AMD Radeon Vega 8,Shared system memory,"14.0"""
"Lenovo Laptop IdeaPad 130S-11IGM 81KT0000US Intel Pentium Silver N5000 (1.10 GHz) 4 GB LPDDR4 Memory 64 GB eMMC Intel UHD Graphics 605 11.6"" Windows 10 S",279.99,Lenovo,IdeaPad 130S-11IGM,81KT0000US,,Windows 10 S,Intel Pentium Silver,N5000 (1.10 GHz),Quad-core Processor,64 GB eMMC,4 GB LPDDR4,Intel UHD Graphics 605,Shared system memory,"11.6"""
"ASUS Laptop VivoBook F510QA-DS99 AMD A12-Series A12-9720P (2.70 GHz) 8 GB Memory 256 GB SSD AMD Radeon R7 Series 15.6"" Windows 10 Home 64-bit",419,ASUS,VivoBook,F510QA-DS99,3,Windows 10 Home 64-bit,AMD A12-Series,A12-9720P (2.70 GHz),Quad-core Processor,256 GB SSD,8 GB,AMD Radeon R7 Series,Shared system memory,"15.6"""
"MSI Laptop Prestige 14 A10SC-021 Intel Core i7 10th Gen 10710U (1.10 GHz) 16 GB Memory 1 TB NVMe SSD NVIDIA GeForce GTX 1650 Max-Q 14.0"" Windows 10 Pro 64-bit","1,699.00",MSI,,Prestige 14 A10SC-021,,Windows 10 Pro 64-bit,Intel Core i7 10th Gen,10710U (1.10 GHz),6-core Processor,1 TB NVMe SSD,16 GB,NVIDIA GeForce GTX 1650 Max-Q,4 GB,"14.0"""
"HP Laptop EliteBook 735 G5 (4JD52UT#ABA) AMD Ryzen 5 1st Gen 2500U (2.00 GHz) 8 GB Memory 256 GB PCIe NVMe SSD AMD Radeon Vega 8 13.3"" Windows 10 Pro 64-Bit",599.99,HP,EliteBook,735 G5 (4JD52UT#ABA),,Windows 10 Pro 64-Bit,AMD Ryzen 5 1st Gen,2500U (2.00 GHz),Quad-core Processor,256 GB PCIe NVMe SSD,8 GB,AMD Radeon Vega 8,Shared system memory,"13.3"""
"HP Laptop ProBook 450 G6 (5VB93UT#ABA) Intel Core i5 8th Gen 8265U (1.60 GHz) 4 GB Memory 128 GB SSD Intel UHD Graphics 620 15.6"" Windows 10 Pro 64-bit",592.99,HP,ProBook,450 G6 (5VB93UT#ABA),,Windows 10 Pro 64-bit,Intel Core i5 8th Gen,8265U (1.60 GHz),Quad-core Processor,128 GB M.2 SSD,4 GB,Intel UHD Graphics 620,Shared system memory,"15.6"""
