name,price,brand,series,model,rating,os,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen
"Refurbished: Apple Macbook Pro 13.3"" Laptop Intel i5 2.7GHz 8GB RAM 128GB SSD Case Bundle",654.99,Apple,MacBook Pro,MF839LL/A,,,Intel Core i5,2.70 GHz,,,8 GB,,,"13.3"""
"Refurbished: Apple MacBook Pro MD101LL/A Intel Core i5-3210M X2 2.5GHz 4GB 500GB 13.3"", Silver (Scratch and Dent)",258.04,Apple,,MacBook Pro MD101LL/A,5,Mac OS X v10.8 Mountain Lion,,,Dual-core Processor,,4 GB,Intel HD Graphics 4000,,"13.3"""
Refurbished: Apple MacBook Pro - 3rd Generation Turbo i5 - 16GB & 1TB Storage Drive - Mojave,409.97,,,,,Mac OS X v10.14 Mojave,Intel Core i5 3rd Gen,2.5 GHz,,,16 GB,,,"13.3"""
Refurbished: Apple MacBook Pro A1278 - i5-2435M - 8GB & 500GB HDD - High Sierra - Discounted!,299.99,,,,,,,,,,,,,
"Used - Like New: Apple Laptop MacBook Pro With Touch Bar MPTR2LL/A Intel Core i7 7th Gen 7700HQ (2.80 GHz) 16 GB Memory 256 GB SSD AMD Radeon Pro 555 15.4"" Mac OS X v10.12 Sierra",,Apple,MacBook Pro With Touch Bar,MPTR2LL/A,,Mac OS X v10.12 Sierra,Intel Core i7 7th Gen,7700HQ (2.80 GHz),Quad-core Processor,256 GB SSD,16 GB,AMD Radeon Pro 555,2 GB,"15.4"""
"Refurbished: Apple Grade B Laptop MacBook Air MJVM2LL/A Intel Core i5 5250U (1.60 GHz) 4 GB Memory 128 GB SSD Intel HD Graphics 6000 11.6"" Mac OS X v10.10 Yosemite",334.56,Apple,MacBook Air,MJVM2LL/A-B,3,Mac OS X v10.10 Yosemite,Intel Core i5 5th Gen,5250U (1.60 GHz),Dual-core Processor,128 GB SSD,4 GB,Intel HD Graphics 6000,Shared system memory,"11.6"""
"Refurbished: Apple MacBook Pro Core 2 Duo P8400 2.26GHz 2GB 160GB DVD±RW GeForce 9400M 13.3"" Notebook OS X w/Cam (Mid 2009)",344.99,,,,,,,,,,,,,"13.3"""
"Refurbished: Apple A Grade Laptop MacBook Air MD760LL/B-Refurb A Intel Core i5 1.30 GHz 4 GB Memory 128 GB SSD Intel HD Graphics 5000 13.3""",,Apple,MacBook Air,MD760LL/B-Refurb A,5,,Intel Core i5,1.30 GHz,,128 GB Flash,4 GB,Intel HD Graphics 5000,Shared system memory,"13.3"""
"Refurbished: Apple A Grade Macbook Pro 13.3-inch (Retina, Space Gray, Touch Bar) 2.9Ghz Dual Core i5 (Late 2016) MLH12LL/A 128GB SSD 8GB Memory 2560x1600 Display Mac OS Sierra Power Adapter Included",859.00,Apple,MacBook Pro,,,Mac OS X v10.12 Sierra,Intel Core i5,2.9 GHz,Dual-core Processor,128 GB,8 GB,Intel Iris Graphics 550,Shared system memory,"13.3"""
"Refurbished: Apple MacBook 13.3"" - Intel Core 2 Duo 2.26GHz - 4GB DDR3 Ram - 250GB SATA HDD - WebCam - AirPort Extreme - Mac OS X v10.12 Sierra - A1342 MC207LL/A - Grade B",169.99,Apple,MacBook,A1342,2,Mac OS X v10.12 Sierra,Intel Core 2 Duo,2.26 GHz,Dual-core Processor,250 gb,4 GB,,,"13.3"""
"Refurbished: Apple Retina MacBook Pro MF843LL/A 13.3in  3.1GHz i7 16GB RAM 256GB Flash SSD 13"" (2015) GRADE A","1,119.99",Apple,MacBook Pro,A1502,,Mac OS X v10.12 Sierra,Intel Core i7,3.10 GHz,Dual-core Processor,256 GB,16 GB,,Shared,"13.3"""
"Refurbished: Apple Laptop MacBook Air MD224LL/A Intel Core i5 1.70 GHz 4 GB Memory 128GB flash storage HDD Intel HD Graphics 4000 11.6"" Mac OS X v10.7 Lion",299.97,Apple,MacBook Air,MD224LL/A,,Mac OS X v10.7 Lion,Intel Core i5,1.70 GHz,,128GB flash storage,4 GB,Intel HD Graphics 4000,Shared system memory,"11.6"""
"Refurbished: Apple MacBook Pro MD101LL/A 13.3-inch Laptop 2.5Ghz, 4GB RAM, 500GB HD",398.00,Apple,MacBook Pro,MacBook Pro MD101LL/A,,Mac OS X v10.12 Sierra,Intel Core i5 3rd Gen,2.50 GHz,Dual-core Processor,500 GB,4 GB,Intel HD Graphics 4000,,"13.3"""
Refurbished: Apple MacBook Pro A1286 - i7-M620 - 8GB & 750GB HDD - High Sierra - Discounted!,349.99,,,,,Mac OS X v10.13 High Sierra,Intel Core i7 1st Gen,2.66 GHz,,,8 GB,,,"15.4"""
"Apple 13.3"" MacBook Pro Touch Bar (Mid 2018, Space Gray) - MR9Q2LL/A","1,599.00",,MacBook Pro,MR9Q2LL/A,,Mac OS X v10.13 High Sierra,Intel Core i5,2.3 GHz,Quad-core Processor,,8 GB,,,"13.3"""
"Refurbished: Apple Grade A Laptop MacBook Pro With Touch Bar (Late 2016) MLH12LL/A Intel Core i5 6th Gen 6267U (2.90 GHz) 8 GB Memory 256 GB SSD Intel Iris Graphics 550 13.3"" Mac OS X v10.12 Sierra",941.00,Apple,MacBook Pro With Touch Bar (Late 2016),MLH12LL/A,,Mac OS X v10.12 Sierra,Intel Core i5 6th Gen,6267U (2.90 GHz),Dual-core Processor,256 GB SSD,8 GB,Intel Iris Graphics 550,Shared system memory,"13.3"""
"Refurbished: Apple MacBook Pro 15.4"" Retina True Tone Laptop (Touch Bar, 8th Gen 6-Core Intel Core i9 2.90GHz, 32GB RAM, 4TB SSD, AMD Radeon Pro 560X 4GB) - A1990 (Mid 2018)","2,449.00",,MacBook Pro,,,,Intel Core i9 8th Gen,2.9 GHz,,,32 GB,,,"15.4"""
"Refurbished: Apple Laptop MacBook Air MC968LLA (EMC 2471) Intel Core i5 2nd Gen 2 GB Memory 64 GB SSD Intel HD Graphics 3000 11.6"" MacBookAir4,1 Mac OS X v10.13 High Sierra",299.25,,,,,,,,,,,,,
"Refurbished: Apple A1278 MacBook Pro 13.3 Inches Laptop PC with Intel Dual-Core i7-3520M Processor (2.9 GHz), 8GB Memory, 1TB Hard Drive and OS X 10.11 El Capitan, Heavy Scratches, Silver",275.95,Apple,,,,,,,,,,,,"13.3"""
"Refurbished: Apple MacBook Pro 13"" ME864LL/A Intel i5-4258U 2.40GHz 8GB RAM 128GB SSD OSX B Grade",479.69,Apple,,,,Mac OS X v10.13 High Sierra,Intel Core i5,2.40 GHz,,,8 GB,,,"13.3"""
