,name,price,brand,rating,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen,weight
274,"HP 17.3"" HD+ Notebook,8th Gen Intel Quad Core i5-8265U Processor,16GB DDR4 RAM,256GB SSD,Intel UHD Graphics 620,DVD-RW,Wifi,Bluetooth 4.2,USB,HDMI, Windows 10 Pro",617.98,HP,-1,Intel Core i5 8th Gen,1.6,4,256,16,Intel UHD Graphics 620,-1,17.3,2.2
275,"HP 17.3"" HD+ Notebook,8th Gen Intel Quad Core i5-8265U Processor,8GB DDR4 RAM,256GB SSD,Intel UHD Graphics 620,DVD-RW,Wifi,Bluetooth 4.2,USB,HDMI, Windows 10 Pro",553.99,HP,-1,Intel Core i5 8th Gen,1.6,4,256,8,Intel UHD Graphics 620,-1,17.3,2.3
276,"Lenovo Ideapad 330 15.6"" Anti Glared HD Premium Business Laptop (AMD A9-9425 up to 3.7 GHz, 8GB DDR4 Memory, 256GB SSD, AMD Radeon R5 Graphic, DVD-RW, HDMI, Windows 10 Home) - Purple",314.49,Lenovo,-1,AMD A9-Series,3.1,2,256,8,AMD Radeon R5 Series,-1,15.6,2.8
277,"ASUS ZenBook 13 UX331UA-DS71 Ultra-Slim Laptop 13.3"" Full HD WideView Display, 8th Gen Intel Core i7-8550U Processor, 8 GB LPDDR3, 256 GB SSD, Windows 10, Backlit keyboard, Fingerprint, Icicle Gold",877.4,ASUS,4,Intel Core i7 8th Gen,1.8,4,256,8,Intel UHD Graphics 620,Shared system memory,13.3,2.2
278,"ASUS VivoBook F510QA Home and Business Laptop (AMD A12-9720P 4-Core, 16GB RAM, 256GB PCIe SSD + 1TB  HDD, 15.6"" Full HD (1920x1080), AMD Radeon R7, Fingerprint, Wifi, Bluetooth, Win 10 Home in S-Mode)",749,ASUS,-1,AMD A12-Series,2.7,4,1256,16,AMD Radeon R7 Series,Shared system memory,15.6,2.8
279,"Refurbished: Lenovo ThinkPad T420s 14"" 1600x900 Laptop PC, Intel Core i5-2520M, 2.5GHz, 8GB DDR3 RAM, 128GB SSD, Win-10",198.11,Lenovo,5,Intel Core i5 2nd Gen,2.5,4,128,8,Intel HD Graphics,-1,14,2.8
280,"HP 17.3"" HD+ TouchScreen Notebook,8th Gen Intel Quad Core i7-8565U Processor,8GB DDR4 RAM,128GB SSD,Intel UHD Graphics 620,DVD-RW,Wifi,Bluetooth 4.2,USB,HDMI, Windows 10 Pro",775,HP,-1,Intel Core i7 8th Gen,1.8,4,128,8,Intel UHD Graphics 620,-1,17.3,2.8
281,"HP 17.3"" HD+ TouchScreen Notebook,8th Gen Intel Quad Core i7-8565U Processor,32GB DDR4 RAM,512GB SSD,Intel UHD Graphics 620,DVD-RW,Wifi,Bluetooth 4.2,USB,HDMI, Windows 10 Pro",975,HP,-1,Intel Core i7 8th Gen,1.8,4,512,32,Intel UHD Graphics 620,-1,17.3,2.25
282,"Newest ASUS VivoBook 15.6"" FHD Home & Business Laptop, AMD A12-9720P Quad-Core upto 3.6GHz, 20GB RAM, 512GB SSD, Fingerprint Reader, AMD Radeon R7 Series, WIFI, HDMI, Windows 10",504.99,ASUS,-1,AMD A12-Series,2.7,4,512,20,AMD Radeon R7 Series,-1,15.6,2.5
283,"Newest ASUS VivoBook 15.6"" FHD Home & Business Laptop, AMD A12-9720P Quad-Core upto 3.6GHz, 20GB RAM, 256GB SSD, Fingerprint Reader, AMD Radeon R7 Series, WIFI, HDMI, Windows 10",480.99,ASUS,-1,AMD A12-Series,2.7,4,256,20,AMD Radeon R7 Series,-1,15.6,2.2
284,"Newest ASUS VivoBook 15.6"" FHD Home & Business Laptop, AMD A12-9720P Quad-Core upto 3.6GHz, 32GB RAM, 128GB SSD, Fingerprint Reader, AMD Radeon R7 Series, WIFI, HDMI, Windows 10",535.99,ASUS,-1,AMD A12-Series,2.7,4,128,32,AMD Radeon R7 Series,-1,15.6,3
285,"Newest ASUS VivoBook 15.6"" FHD Home & Business Laptop, AMD A12-9720P Quad-Core upto 3.6GHz, 8GB RAM, 512GB SSD, Fingerprint Reader, AMD Radeon R7 Series, WIFI, HDMI, Windows 10",430.99,ASUS,-1,AMD A12-Series,2.7,4,512,8,AMD Radeon R7 Series,-1,15.6,2.15
286,"Newest ASUS VivoBook 15.6"" FHD Home & Business Laptop, AMD A12-9720P Quad-Core upto 3.6GHz, 4GB RAM, 1TB HDD, Fingerprint Reader, AMD Radeon R7 Series, WIFI, HDMI, Windows 10",362.99,ASUS,-1,AMD A12-Series,2.7,4,1000,4,AMD Radeon R7 Series,-1,15.6,1.95
287,"Newest ASUS VivoBook 15.6"" FHD Home & Business Laptop, AMD A12-9720P Quad-Core upto 3.6GHz, 4GB RAM, 1024GB SSD, Fingerprint Reader, AMD Radeon R7 Series, WIFI, HDMI, Windows 10",492.99,ASUS,-1,AMD A12-Series,2.7,4,1024,4,AMD Radeon R7 Series,-1,15.6,1.7
288,"Newest ASUS VivoBook 15.6"" FHD Home & Business Laptop, AMD A12-9720P Quad-Core upto 3.6GHz, 16GB RAM, 512GB SSD, Fingerprint Reader, AMD Radeon R7 Series, WIFI, HDMI, Windows 10",480.99,ASUS,-1,AMD A12-Series,2.7,4,512,16,AMD Radeon R7 Series,-1,15.6,2.5
289,"Newest ASUS VivoBook 15.6"" FHD Home & Business Laptop, AMD A12-9720P Quad-Core upto 3.6GHz, 12GB RAM, 1TB HDD, Fingerprint Reader, AMD Radeon R7 Series, WIFI, HDMI, Windows 10",411.99,ASUS,-1,AMD A12-Series,2.7,4,1000,12,AMD Radeon R7 Series,-1,15.6,2.2
290,"Newest ASUS VivoBook 15.6"" FHD Home & Business Laptop, AMD A12-9720P Quad-Core upto 3.6GHz, 4GB RAM, 512GB SSD, Fingerprint Reader, AMD Radeon R7 Series, WIFI, HDMI, Windows 10",406.99,ASUS,-1,AMD A12-Series,2.7,4,512,4,AMD Radeon R7 Series,-1,15.6,2.19
